Question,Answer,
How do I invite family or friends to visit me in Australia, ,35
I am an international student. Can my family work in Australia while I am studying, ,36
How do I officially change my name, ,37
What is my student email address, ,38
How is my engineering honor level calculated, ,39
How do I cancel a course, ,40
What is the difference between one semester and three months, ,41
What are the different types of courses, ,42
How do I order an official transcript, ,43
Can I still access university email and Adelaide after completing my studies, ,44
"If I fail my course, can I get more help with my studies", ,45
Can I study part-time, ,46
How to overload, ,47
"How do I know if I have been awarded an alternative exam, assessment extension or additional assessment", ,48
How do I get in touch with my teacher, ,49
I have completed my PhD. When can I call myself a doctor, ,50
How do I order a replacement ID, ,51
"What if I have accepted a SATAC offer and have accepted ‚àö√á¬¨ ‚Ä† registration, but now want to postpone it", ,52
"If I have financial difficulties, what scholarship can I choose", ,53
How many summer or winter school courses can I take, ,54
I lost my Confirmation of Enrolment (CoE). what should I do, ,55
How do I change my bank account details to pay for a scholarship, ,56
What is the correct abbreviation for putting my reward title behind my name, ,57
"Under what circumstances can I apply for an extension, replacement exam or additional assessment", ,58
Which electives should I study, ,59
Is there a lost and found office on campus, ,60
How do I get a student ID, ,61
What parking lot is there on campus after work, ,62
Where is International Student Support (ISS) What services does ISS provide, ,63
What do I need to take to take the exam, ,64
How do I get to Rosworthy / North Terrace / Witt Campus, ,65
Where can I find my study plan, ,66
Can I apply for previous credits, ,67
How do I rent a locker at Hub Central, ,68
When can I get a scholarship, ,69
Where can I get course suggestions if I want to change my degree, ,70
When can I find the results of the scholarship, ,71
What does CBL mean, ,72
What should I expect when taking an exam at the Wayville Pavilion venue, ,73
How long can I get an official transcript, ,74
How do I change my contact information, ,75
Can I extend the assignment, ,76
I received a risk 1 notice. Where can I get help, ,77
How do I order official letters from the university, ,78
What is the difference between a formal transcript and an informal transcript, ,79
What will affect my studies, ,80
Will I be charged if the course is abandoned after the census date, ,81
How do I forward a student's email to another email account, ,82
What does a negative service indicator appear on my account, ,83
Can I use my preferred name in Uni, ,84
What if I need to switch to part-time study but my scholarship requires full-time admission, ,85
How do I renew my student ID, ,86
What is the academic progress policy for academic students How does it affect me, ,87
How do I access specific buildings on campus, ,88
Where can I start looking for work, ,89
Where can I get past exam papers for study, ,90
Why are tuition fees for domestic and foreign students different, ,91
How do I pay my fees, ,92
Can I extend my admission confirmation, ,93
"If I finish the final course in summer or winter school, can I still graduate in the next round of graduation", ,94
How do I apply for a graduate student, ,95
What is photography, ,96
Can I get some official documents after completing the course, ,97
Where is the Weaver Pavilion, ,98
Where can I buy textbooks, ,99
Do I need to apply for travel insurance for my study abroad experience, ,100
How much does it cost to graduate, ,101
Is there a North Terrace Campus removal service after being accompanied by work, ,102
What if someone gets cheated on the exam, ,103
How do I make an appointment to see a counsellor, ,104
What is the contact time for summer or winter schools, ,105
Am I eligible for Commonwealth support and HECS-HELP, ,106
Where is the security service, ,107
What should I do if I receive a notice of overdue fees, ,108
How can I get extra help with my studies, ,109
Do I need to pay for a new CoE, ,110
What's the difference between graduate leave and studying for an advanced degree, ,111
I want to see the original exam paper I took. How do I get this permission, ,112
How much is my tuition, ,113
What is the scheduled date for a course change, ,114
What if I cannot take the exam, ,115
I cannot print., ,116
What should I wear when I graduate, ,117
How do I collect my official transcript, ,118
What if I miss the registration opening hours, ,119
What if my program is not available via internal transfer, ,120
Is my scholarship income taxable, ,121
How do I know what my help debt is, ,122
What bicycle facilities are available on campus, ,123
Can I take a course from another university (inter-agency learning), ,124
How do I copy in a library, ,125
Am I eligible for FEE-HELP help, ,126
What is Commonwealth Support, ,127
Where is the Roseworthy Student Services Office, ,128
Can I change the course or class time, ,129
Can I maintain access to e-library resources after completing the course, ,130
Can I attend a full class, ,131
I am an international student. Do I need to register full time each semester, ,132
Where is off-site storage (URRSA) and how do I request items from there, ,133
Can I request a refund, ,134
Can I get HECS-HELP if I study another degree, ,135
How do I notify the University of my citizenship or residency change, ,136
Can I print a refund, ,137
Am I eligible to apply for honors at the College of Art, ,138
When can I register if I start my course mid-year, ,139
When will the test schedule be available, ,140
What course should I study at the Art Institute, ,141
How do I get a scholarship, ,142
Do I need to pay other than tuition fees, ,143
What's the use of tutorial tags, ,144
Can I still access my email and library after submitting a higher degree through a research paper, ,145
"From the date of enrollment, where can I get a copy of a higher degree through the study plan rules", ,146
Is there any admission information, ,147
"If the name in Access Adelaide is incorrect, how can the correct name appear on my testamur", ,148
What's the date of my graduation ceremony, ,149
"If the two courses I want to study are not set to a fixed dual degree, can I take a dual degree myself", ,150
Do I have to take a replacement exam if I have passed the preliminary exam, ,151
Can I use the toilet during the exam, ,152
When does my Overseas Student Health Insurance (OSHC) coverage begin, ,153
"If I want to graduate from multiple courses, can I receive all my wills in one ceremony", ,154
"If my candidate status is about to expire, do I still need to submit a ""Leave a Leave"" form", ,155
How do I get readers for a course, ,156
How long can I order my transcripts after receiving my results, ,157
Can I request an extension fee, ,158
What if I get sick before I receive my OSHC card, ,159
What time is the important date, ,160
What time is the main examination time, ,161
How do I apply for an overseas exchange, ,162
Where can I get a travel insurance number, ,163
Does the university provide counselling services for students, ,164
Is there a childcare room on campus, ,165
What is the Engineering Support Program, ,166
What will happen to my OSHC when I go home for vacation, ,167
What is the date of the census, ,168
What is direct bidding, ,169
Do I have to pay certain tuition fees for my study abroad experience, ,170
Can I get multiple scholarships at once, ,171
Where is the Mathematics Learning Center (MLC) and when is it open, ,172
I need certain textbooks for my course. When should I buy them, ,173
I am an international student. Can I work while studying, ,174
Can I change my major or minor at the art school, ,175
How to copy files using ADAPT, ,176
When can I submit a research dissertation for my graduation exam, ,177
Do I need to arrive at the test site before a certain time, ,178
How do I get into Studiosity, ,179
What is a scholarship recognition ceremony, ,180
"How do I find the way to enroll, and armor completes a degree during the CoE", ,181
Can I ask for leave or vacation, ,182
Ask what documents Adelaide can prove, ,183
Can I graduate from a language diploma before earning an undergraduate degree, ,184
"As a Commonwealth supported student, do I need to fill out the HECS-HELP form if I want to pay my tuition in advance", ,185
What is the University Medal, ,186
How long can I register after moving to a new program, ,187
"As a first-year student, can I apply to study abroad", ,188
"If I change my plan, do I need to reapply for Commonwealth financial support", ,189
What is the value of my Commonwealth Scholarship, ,190
How do I submit a Turnitin job in MyUni (Canvas), ,191
I am a new international student. When should I arrive in Adelaide, ,192
Where should I return the library books, ,193
"If I am a student and staff, do I need to pay for student service facilities", ,194
Why are my fees different from those of my friends, ,195
What is a self-reporting procedure., ,196
I am an international student and brought my family to Australia. What support services are available, ,197
I am an international student; where can I find work in Australia during my studies, ,198
Where will my exams be antiques, ,199
When and where can I collect my academic clothes, ,200
"I am an international student. Can I study online, remotely or across institutions", ,201
Can I continue to exchange languages ‚Äã‚Äãor art diplomas, ,202
What is a Dean's Certificate and how do I order it, ,203
How to propose OSHC medical expenses budget, ,204
What is a research training program, ,205
How do I get the digital eligibility documents in my eQuals, ,206
How will my change of residence affect my expenses, ,207
Why doesn't my course appear in MyUni, ,208
"In addition to my research scholarship, how much can I earn from part-time work", ,209
Where can I buy a lab coat, ,210
How do I manage my language diploma and my bachelor's degree, ,211
What if I am late to return the library, ,212
How can I be honored for my overseas study experience, ,213
Do I need additional insurance for OSHC, ,214
Do I need to pay for student services and facilities if I study overseas, ,215
Can I start using the language in the middle of the year, ,216
Why was my library item recalled and the expiration date changed, ,217
"If I work at OSHC Allianz Global Assistance, do I have to see a direct replacement doctor", ,218
How many units do I need to register with the University of Adelaide when I exchange, ,219
Is there a security service on campus, ,220
Where is the writing center and when is it open, ,221
How much does it cost to study abroad, ,222
I am a class A student. When do I need to contact disability support, ,223
How do I submit a job in MyUni (Canvas), ,224
Am I eligible for a language diploma, ,225
How to resolve registration errors, ,226
What does OSHC Allianz Global Assistance cover, ,227
Can I register from overseas, ,228
"Do I need to register with the National Commission to study medicine, dentistry or oral health", ,229
"As an inter-agency student, how do I send my grades to my university", ,230
Are there scholarships to support research students in meetings, ,231
Can I get a PhD or superfluous research without paying tuition, ,232
What is my login information, ,233
Can I start a language diploma in the second or third year of my degree, ,234
I think I may have been sexually assaulted. Who can I ask for help, ,235
What is the specialty of the art school, ,236
I am an international student. What if I cannot complete my degree on the expected date, ,237
How much is the airport pick-up service, ,238
"I cannot access the lecture hall / counseling room due to a disability, injury or medical condition. what should I do", ,239
How do I access assistive software or equipment in the Adaptive Technology Room, ,240
When and where can I collect admission tickets to the graduation ceremony, ,241
How to remove the blocking and braking from my account I can register or change the registration, ,242
Where do I ask questions about enrollment at Adelaide University while I'm on an overseas exchange,,243
Why don't I get emails from the University?,,244
May I graduate with outstanding fees?,,245
What does MyUni mean?,,246
Can I use the library to search,,247
There are courses that I can take free of charge online,,248
Where can I receive work applications for higher degree forms?,,249
What is the cost for student services?,,250
I need assistance with a few personal problems. Who can I converse with?,,-1
Will I be paid as an external postgraduate student for the Student Services and Fees,,-1
Where can I find out about the aspects of studying abroad?,,-1
I thought I was sexually harassed. Where can I get help?,,-1
"In Adelaide Law School, how to submit assignments",,-1
What does Unified mean,,-1
How many people will I bring to the graduation ceremony?,,-1
What is a SELT,,-1
What is a CareerHub,,-1
"What does ""welcome"" in Access Adelaide mean",,-1
Can I study the language diploma by myself,,-1
"I have returned the library books, but the records show I still have borrowed items.",,-1
An error occurred while submitting a MyUni or Turnitin job.,,-1
I have to watch DVDS for my classes. How can I watch this in the library,,-1
"If I study on rosworthy campus, where can I live?",,-1
"I am studying two courses, but only one of them is registered. Is this a problem?",,-1
How can I accept or reject my scholarship,,-1
Can I count both the language diploma and my degree in the course,,-1
I'm an international student. Can my child go to school in Australia,,-1
What is overseas student medical insurance (OSHC),,-1
Does the university provide travel insurance for my exchange or study trips,,-1
What happens at graduation,,-1
How do I determine if I am successful in winning the Adelaide summer fellowship,,-1
I had trouble looking at the Echo360 presentation.,,-1
I'm a graduate student. How do I sign up,,-1
Can I borrow books from the interstate library,,-1
"What is the MicroMasters program in big data, and how does it fit into the master of data science",,-1
I need to choose my major or minor in art school,,-1
What time do I need to get to the graduation ceremony,,-1
I will finish my course at the end of this year. Can I apply for graduate courses before graduation,,-1
What if I can't meet the paper deadline,,-1
What is the minimum number of unit credits I need to be approved to get from the exchange,,-1
I am graduating from a double major program. Will I receive two Australian higher education graduation certificates (AHEGS)?,,-1
"If I don't study here, how can I stay at the university of Adelaide while studying abroad",,-1
How much notice do I need to give to use the airport pick-up service,,-1
Can I get help improving my job interview skills,,-1
What is a testamur,,-1
I have a medical condition/disability and need to apply for alternative examination arrangement (AEA) before I can take the examination. How can I do this,,-1
"If I need special access because of disability, how can I enter Bonython Hall for graduation?",,-1
How do I apply for an industry or research internship at the school of art,,-1
When and where can I get what I want from the library,,-1
How do I choose a course/complete teacher approval for communication,,-1
"If I arrive with my family, am I eligible for airport transfer",,-1
What if I need to go to the hospital,,-1
How can a disability counselor help me,,-1
Can I study languages at the university of Adelaide,,-1
Is the math learning center (MLC)/writing center open outside the teaching week/summer semester,,-1
"About medical conditions or disabilities, what is A student and how do I know if I am an A student",,-1
Do I have to get credits for overseas study Tours to attend,,-1
How can I view microfilm in the library,,-1
What weird food combinations do you really enjoy, ,-1
What social stigma does society need to get over, ,-1
What food have you never eaten but would really like to try, ,-1
What is something you really resent paying for, ,-1
What would a world populated by clones of you be like, ,-1
Do you think that aliens exist, ,-1
What are you currently worried about, ,-1
Where are some unusual places you‚Äôve been, ,-1
Where do you get your news, ,-1
What are some red flags to watch out for in daily life, ,-1
What movie can you watch over and over without ever getting tired of, ,-1
"When you are old, what do you think children will ask you to tell stories about", ,-1
"If you could switch two movie characters, what switch would lead to the most inappropriate movies", ,-1
What inanimate object would be the most annoying if it played loud upbeat music while being used, ,-1
"When did something start out badly for you but in the end, it was great", ,-1
"How would your country change if everyone, regardless of age, could vote", ,-1
What animal would be cutest if scaled down to the size of a cat, ,-1
"If your job gave you a surprise three day paid break to rest and recuperate, what would you do with those three days", ,-1
What is wrong but sounds right, ,-1
What is the most epic way you‚Äôve seen someone quit or be fired, ,-1
"If you couldn‚Äôt be convicted of any one type of crime, what criminal charge would you like to be immune to", ,-1
"What is something that will always be in fashion, no matter how much time passes", ,-1
What actors or actresses play the same character in almost every movie or show they do, ,-1
"In the past people were buried with the items they would need in the afterlife, what would you want buried with you so you could use it in the afterlife", ,-1
What is the best / worst practical joke that you‚Äôve played on someone or that was played on you, ,-1
Who do you go out of your way to be nice to, ,-1
Where do you get most of the decorations for your home, ,-1
What food is delicious but a pain to eat, ,-1
Who was your craziest / most interesting teacher, ,-1
What would person‚Äù things do you do, ,-1
What was the last photo you took, ,-1
What is the most amazing slow motion video you‚Äôve seen, ,-1
Which celebrity do you think is the most down to earth, ,-1
What would be the worst thing to hear as you are going under anesthesia before heart surgery, ,-1
What is the spiciest thing you‚Äôve ever eaten, ,-1
What is the most expensive thing you‚Äôve broken, ,-1
What obstacles would be included in the Worldis most amazing obstacle course, ,-1
What makes you roll your eyes every time you hear it, ,-1
What do you think you are much better at than you actually are, ,-1
Should kidneys be able to be bought and sold, ,-1
What is the most creative use of emojis you‚Äôve ever seen, ,-1
When was the last time you got to tell someone ‚ÄúI told you so.‚Äù, ,-1
What riddles do you know, ,-1
What is your cure for hiccups, ,-1
"What invention doesn‚Äôt get a lot of love, but has greatly improved the world", ,-1
what is the most interesting building you‚Äôve ever seen or been in, ,-1
What mythical creature do you wish actually existed, ,-1
What are your most important rules when going on a date, ,-1
How do you judge a person, ,-1
"If someone narrated your life, who would you want to be the narrator", ,-1
What was the most unsettling film you‚Äôve seen, ,-1
What unethical experiment would have the biggest positive impact on society as a whole, ,-1
"When was the last time you were snooping, and found something you wish you hadn‚Äôt", ,-1
Which celebrity or band has the worst fan base, ,-1
What are you interested in that most people aren‚Äôt, ,-1
"If you were given a PhD degree, but had no more knowledge of the subject of the degree besides what you have now, what degree would you want to be given to you", ,-1
What smartphone feature would you actually be excited for a company to implement, ,-1
what is something people don‚Äôt worry about but really should, ,-1
What movie quotes do you use on a regular basis, ,-1
Do you think that children born today will have better or worse lives than their parents, ,-1
what is the funniest joke you know by heart, ,-1
When was the last time you felt you had a new lease on life, ,-1
what is the funniest actual name you‚Äôve heard of someone having, ,-1
Which charity or charitable cause is most deserving of money, ,-1
What TV show character would it be the most fun to change places with for a week, ,-1
What was cool when you were young but isn‚Äôt cool now, ,-1
"If you were moving to another country, but could only pack one carry-on sized bag, what would you pack", ,-1
what is the most ironic thing you‚Äôve seen happen, ,-1
"If magic was real, what spell would you try to learn first", ,-1
"If you were a ghost and could possess people, what would you make them do", ,-1
What goal do you think humanity is not focused enough on achieving, ,-1
What problem are you currently grappling with, ,-1
"What character in a movie could have been great, but the actor they cast didn‚Äôt fit the role", ,-1
What game have you spent the most hours playing, ,-1
What is the most comfortable bed or chair you‚Äôve ever been in, ,-1
What is the craziest conversation you‚Äôve overheard, ,-1
What is the hardest you‚Äôve ever worked, ,-1
"What movie, picture, or video always makes you laugh no matter how often you watch it", ,-1
What artist or band do you always recommend when someone asks for a music recommendation, ,-1
"If you could have an all-expenses paid trip to see any famous world monument, which monument would you choose", ,-1
"If animals could talk, which animal would be the most annoying", ,-1
What is the most addicted to a game you‚Äôve ever been, ,-1
What is the coldest you‚Äôve ever been, ,-1
Which protagonist from a book or movie would make the worst roommate, ,-1
Do you eat food thatis past its expiration date if it still smells and looks fine, ,-1
What is the most ridiculous thing you have bought, ,-1
what is the funniest comedy skit you‚Äôve seen, ,-1
what is the most depressing meal you‚Äôve eaten, ,-1
What tips or tricks have you picked up from your job / jobs, ,-1
"What outdoor activity haven‚Äôt you tried, but would like to", ,-1
What songs hit you with a wave of nostalgia every time you hear them, ,-1
what is the worst backhanded compliment you could give someone, ,-1
what is the most interesting documentary you‚Äôve ever watched, ,-1
What was the last song you sang along to, ,-1
what is the funniest thing you‚Äôve done or had happen while your mind was wandering, ,-1
What app can you not believe someone hasn‚Äôt made yet, ,-1
When was the last time you face palmed, ,-1
"If you were given five million dollars to open a small museum, what kind of museum would you create", ,-1
Which of your vices or bad habits would be the hardest to give up, ,-1
What really needs to be modernized, ,-1
When was the last time you slept more than nine hours, ,-1
How comfortable are you speaking in front of large groups of people, ,-1
what is your worst example of procrastination, ,-1
Who has zero filter between their brain and mouth, ,-1
What was your most recent lie, ,-1
When was the last time you immediately regretted something you said, ,-1
What would be the best thing you could reasonably expect to find in a cave, ,-1
What did you think was going to be amazing but turned out to be horrible, ,-1
What bit of trivia do you know that is very interesting but also very useless, ,-1
what is the silliest thing you‚Äôve seen someone get upset about, ,-1
What animal or plant do you think should be renamed, ,-1
What was the best thing that happened to you today, ,-1
"As a child, what did you think would be awesome about being an adult, but isn‚Äôt as awesome as you thought it would be", ,-1
when is censorship warranted, ,-1
what is the most boring super hero you can come up with, ,-1
What would be some of the downsides of certain superpowers, ,-1
What word is a lot of fun to say, ,-1
What current trend do you hope will go on for a long time, ,-1
What actors or actresses can‚Äôt play a different character because they played their most famous character too well, ,-1
Whereis your go to restaurant for amazing food, ,-1
what is something that all your friends agree on, ,-1
what is your best story from a wedding, ,-1
What languages do you wish you could speak, ,-1
what is the most pleasant sounding accent, ,-1
"what is something that everyone, absolutely everyone, in the entire world can agree on", ,-1
What country is the strangest, ,-1
what is the funniest word in the English language, ,-1
what is some insider knowledge that only people in your line of work have, ,-1
Who do you wish you could get back into contact with, ,-1
How do you make yourself sleep when you can‚Äôt seem to get to sleep, ,-1
"If people receive a purple heart for bravery, what would other color hearts represent", ,-1
What are some of the best vacations you‚Äôve had, ,-1
"If there was a book of commandments for the modern world, what would some of the rules be", ,-1
what is the craziest video you‚Äôve ever seen, ,-1
"what is your ‚ÄúBack in my day, we‚Ä¶‚Äù", ,-1
"If you could know the truth behind every conspiracy, but you would instantly die if you hinted that you knew the truth, would you want to know", ,-1
What animal would be the most terrifying if it could speak, ,-1
what is the worst hairstyle you‚Äôve ever had, ,-1
What habit do you have now that you wish you started much earlier, ,-1
"If you were given one thousand acres of land that you didn‚Äôt need to pay taxes on but couldn‚Äôt sell, what would you do with it", ,-1
What about the opposite sex confuses you the most, ,-1
When was the last time you yelled at someone, ,-1
what is the opposite of a koala, ,-1
What kinds of things do you like to cook or are good at cooking, ,-1
What life skills are rarely taught but extremely useful, ,-1
What movie universe would be the worst to live out your life in, ,-1
"If you could hack into any one computer, which computer would you choose", ,-1
Who do you feel like you know even though you‚ never met them, ,-1
what is the most ridiculous animal on the planet, ,-1
what is the worst thing you‚Äôve eaten out of politeness, ,-1
What is the most historic thing that has happened in your lifetime, ,-1
What happens in your country regularly that people in most countries would find strange or bizarre, ,-1
What has been blown way out of proportion, ,-1
When was a time you acted nonchalant but were going crazy inside, ,-1
What is about to get much better, ,-1
What are some clever examples of misdirection you‚Äôve seen, ,-1
What is your funniest story involving a car, ,-1
What would be the click-bait titles of some popular movies, ,-1
"If you built a themed hotel, what would the theme be and what would the rooms look like", ,-1
What scientific discovery would change the course of humanity overnight if it was discovered, ,-1
